Poblacion,Estado,Tipo,Concesionario,Distintivo,Banda,Frecuencia,Potencia W,Inicio,Fin,Latitud,Longitud,Altura,
LOS MOCHIS,SIN.,(C)**,"SOMOS RADIODIFUSORES, S.A. DE C.V.",XHREV,FM,104.3,10000,07/09/08,06/09/20,254737,1085949,12,
LOS MOCHIS,SIN.,(C)**,"RADIO 65, S.A.",XHTNT,FM,106.5,10000,04/07/04,03/07/16,254737,1085949,12,
LOS MOCHIS,SIN.,(P)**,UNIVERSIDAD DE OCCIDENTE,XHUDO,FM,89.3,25000,11/08/94,N.D.,254737,1085949,12,
MAZATLÁN,SIN.,(C),"FÓRMULA RADIOFÓNICA, S.A. DE C.V.",XHACE,FM,91.3,10000,Es frecuencia adicional de la XEACE-AM,,240631,1070744,0,
MAZATLÁN,SIN.,(C)**,"RADIO MAZATLÁN, S.A.",XHERJ,FM,107.5,25000,04/07/04,03/07/16,240631,1070744,0,
MAZATLÁN,SIN.,(C)**,"RADIO XEFIL, S.A. DE C.V.",XHFIL,FM,88.9,25000,01/07/12,30/06/24,240631,1070744,0,
MAZATLÁN,SIN.,(C),"RADIO INTEGRAL, S.A. DE C.V.",XHMAT,FM,99.5,14100,23/11/09,22/11/19,240631,1070744,0,
MAZATLÁN,SIN.,(C)**,"RADIO MIL DE MAZATLÁN, S.A. DE C.V.",XHMMS,FM,97.9,25000,10/04/02,R,240631,1070744,0,
MAZATLÁN,SIN.,(P),"INSTITUTO CULTURAL DE OCCIDENTE, A.C.",XHMZL,FM,90.5,5000,30/09/91,N.D.,240631,1070744,0,
MAZATLÁN,SIN.,(P),GOBIERNO DEL ESTADO DE SINALOA,XHMZS,FM,93.9,10000,01/11/11,31/10/23,240631,1070744,0,
MAZATLÁN,SIN.,(C),"GRUPO NUEVA RADIO, S.A. DE C.V.",XHMZT,FM,93.1,50000,10/10/06,09/10/18,240631,1070744,0,
MAZATLÁN,SIN.,(C)**,"MÉXICO RADIO, S.A. DE C.V.",XHENX,FM,104.3,25000,04/07/04,03/07/16,240631,1070744,0,
MAZATLÁN,SIN.,(C),"RADIO EMISORA OCCIDENTAL, S.A.",XHOPE,FM,89.7,10000,Es frecuencia adicional de la XEOPE-AM,,240631,1070744,0,
MAZATLÁN,SIN.,(C)**,"INFORMACIÓN RADIOFÓNICA, S.A.",XHST,FM,94.7,25000,26/05/03,25/05/15,240631,1070744,0,
MAZATLÁN,SIN.,(C)**,"MÉXICO RADIO, S.A. DE C.V.",XHVOX,FM,98.7,25000,04/07/04,03/07/16,240631,1070744,0,
MAZATLÁN,SIN.,(C),"RADIO XEVU, S.A. DE C.V.",XHVU,FM,97.1,15000,Es frecuencia adicional de la XEVU-AM,,240631,1070744,0,
MAZATLÁN,SIN.,(C),"RADIO XHZS-FM, S.A. DE C.V.",XHZS,FM,100.3,9480,25/08/02,24/08/14,240631,1070744,0,
MAZATLÁN,SIN.,(P)*,"FOMENTO EDUCATIVO Y CULTURAL FRANCISCO DE IBARRA, A.C.",XHTLAN,FM,106.7,3000,01/11/11,31/10/23,240631,1070744,0,
MOCHICAHUI,SIN.,(C)**,"XEORF, S.A. DE C.V.",XHORF,FM,99.7,25000,12/12/09,13/12/21,255642,1085538,27,
SAN BLAS,SIN.,(C)**,"RADIO TOPOLOBAMPO, S.A. DE C.V.",XHMPM,FM,98.9,15000,27/10/01,R,254828,1085807,17,
AGUA PRIETA,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHAPS,FM,101.3,1538,07/03/05,R,311933,1093256,1210,
AGUA PRIETA,SON.,(C)**,"RADIO INTERNACIONAL DE COMERCIO, S. DE R.L. DE C.V.",XHAQ,FM,106.9,25000,03/07/06,02/07/18,311933,1093256,1210,
AGUA PRIETA,SON.,(C)**,HÉCTOR RIVERA ESQUER,XHFH,FM,107.9,25000,18/10/09,17/10/19,311933,1093256,1210,
AGUA PRIETA,SON.,(C),ARNOLDO RODRÍGUEZ ZERMEÑO,XHSAP,FM,98.5,3000,31/08/08,30/08/20,311933,1093256,1210,
ÁLAMOS,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHMOS,FM,104.1,525,09/11/10,08/11/22,270124,1085556,377,
ARIZPE,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHZPE,FM,94.7,590,07/03/05,R,302005,1100958,834,
BENJAMÍN HILL,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHHIL,FM,90.1,115,07/03/05,R,301009,1110651,716,
CABORCA,SON.,(P),UNIVERSIDAD DE SONORA,XHCAB,FM,94.5,3000,02/03/00,R,304256,1120933,280,
CABORCA,SON.,(C),"RADIO PALACIOS, S.A. DE C.V.",XHCBR,FM,100.1,50000,16/08/04,15/08/16,304256,1120933,280,
CABORCA,SON.,(C)**,"RADIO PALACIOS, S.A. DE C.V.",XHEZ,FM,90.7,25000,03/07/04,02/07/16,304256,1120933,280,
CABORCA,SON.,(C)**,"XEIB-AM, S.A. DE C.V.",XHIB,FM,89.9,25000,27/03/04,26/03/16,304256,1120933,280,
CABORCA,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHSOA,FM,91.5,1510,06/03/12,07/03/24,304256,1120933,280,
CABORCA,SON.,(C),"RADIO PALACIOS, S.A. DE C.V.",XHUK,FM,95.3,25000,Cambio de frecuencia de la estación XEUK-AM,,304256,1120933,280,
CANANEA,SON.,(C)**,INSTITUTO MEXICANO DE LA RADIO ,XHFQ,FM,103.1,10000,04/07/04,03/07/16,305855,1101802,1620,
CANANEA,SON.,(C),"RADIO INTEGRAL, S.A. DE C.V.",XHCNE,FM,104.7,15000,16/08/04,15/08/16,305855,1101802,1620,
CANANEA,SON.,(C),"MULTIFRONTERAS, S.A. DE C.V.",XHSCA,FM,93.3,15150,16/11/03,15/11/15,305855,1101802,1620,
CANANEA,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHSEA,FM,97.7,1210,07/03/05,R,305855,1101802,1620,
CANANEA,SON.,(P)*,INSTITUTO TECNOLÓGICO SUPERIOR DE CANANEA,XHTSC,FM,102.3,3000,01/11/11,31/10/23,305855,1101802,1620,
CARBO,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHRBO,FM,94.7,590,07/03/05,R,294103,1105718,465,
CD. OBREGÓN,SON.,(C)**,"RADIO INTEGRAL, S.A. DE C.V.",XHIQ,FM,102.5,25000,04/07/04,03/07/16,272921,1095606,33,
CD. OBREGÓN,SON.,(C)**,XEAP S.A. ,XHAP,FM,96.9,25000,04/07/04,03/07/16,272921,1095606,33,
CD. OBREGÓN,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHCDO,FM,89.3,3950,06/03/12,07/03/24,272921,1095606,33,
CD. OBREGÓN,SON.,(C),"DIFUSIÓN RADIOFÓNICA DE CIUDAD OBREGÓN, S.A. DE C.V. ",XHEB,FM,98.5,5400,Cambio de frecuencia de la estación XEEB-AM,,272921,1095606,33,
CD. OBREGÓN,SON.,(C)**,"XESO-AM, S.A. DE C.V.",XHESO,FM,104.9,25000,10/12/07,09/12/19,272921,1095606,33,
CD. OBREGÓN,SON.,(C),"RADIODIFUSORA XHFL, S.A. DE C.V.",XHFL,FM,90.5,20000,17/04/10,16/04/20,272921,1095606,33,
CD. OBREGÓN,SON.,(C),CARLOS DE JESÚS QUIÑONES ARMENDÁRIZ,XHGON,FM,92.9,50000,07/08/07,06/08/19,272921,1095606,33,
CD. OBREGÓN,SON.,(C)**,"XEHO DE OBREGÓN, S.A. DE C.V.",XHHO,FM,97.7,25000,03/07/04,02/07/16,272921,1095606,33,
CD. OBREGÓN,SON.,(C)**,"XEHX, S.A. DE C.V.",XHHX,FM,101.7,15000,06/06/02,R,272921,1095606,33,
CD. OBREGÓN,SON.,(C)**,"XEOBS-AM, S.A. DE C.V.",XHOBS,FM,92.1,25000,11/03/03,10/03/15,272921,1095606,33,
CD. OBREGÓN,SON.,(C)**,"ORGANIZACIÓN SONORA, S.A. DE C.V.",XHOS,FM,105.7,25000,04/07/04,03/07/16,272921,1095606,33,
CD. OBREGÓN,SON.,(C),"RADIO CAJEME, S.A. DE C.V.",XHOX,FM,106.5,10000,Es frecuencia adicional de la XEOX-AM,,272921,1095606,33,
CD. OBREGÓN,SON.,(C),"XHSM-FM, S.A. DE C.V.",XHSM,FM,100.9,13370,28/11/03,27/11/15,272921,1095606,33,
EL SIFÓN,SON.,(C),ARNOLDO RODRÍGUEZ ZERMEÑO,XHSOS,FM,97.3,25000,Cambio de frecuencia de la estación XESOS-AM,,311505,1094431,1392,
GRANADOS,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHGRA,FM,94.7,590,07/03/05,R,295143,1091839,533,
GUAYMAS,SON.,(C),"GILHAAM, S.A. DE C.V.",XHBQ,FM,105.3,10000,Es frecuencia adicional de la XEBQ-AM,,275506,1105356,10,wiki
GUAYMAS,SON.,(C),"RADIO AMISTAD DE SONORA, S.A. DE C.V. ",XHDR,FM,99.5,2210,Es frecuencia adicional de la XEDR-AM,,275506,1105356,10,wiki
GUAYMAS,SON.,(C)**,"RADIO AMISTAD DE SONORA, S.A. DE C.V.",XHEPS,FM,102.1,6000,04/07/04,03/07/16,275506,1105356,10,wiki
GUAYMAS,SON.,(C),"RADIO SONORA, S.A.",XHFX,FM,101.3,8000,Cambio de frecuencia de la estación XEFX-AM,,275506,1105356,10,wiki
GUAYMAS,SON.,(C)**,"XEGYS, S.A. DE C.V.",XHGYS,FM,90.1,25000,13/07/09,12/07/21,275506,1105356,10,wiki
GUAYMAS,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHGUA,FM,106.9,360,07/03/05,R,275506,1105356,10,wiki
HERMOSILLO,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHHB,FM,94.7,15400,07/03/05,R,290556,1105715,216,
HERMOSILLO,SON.,(C),"STEREOREY MÉXICO, S.A.",XHBH,FM,98.5,500,Es frecuencia adicional de la XEBH-AM,,290556,1105715,216,
HERMOSILLO,SON.,(C)**,CARLOS DE JESÚS QUIÑONES ARMENDÁRIZ,XHEDL,FM,89.7,25000,11/09/04,10/09/16,290556,1105715,216,
HERMOSILLO,SON.,(C),CARLOS DE JESÚS QUIÑONES ARMENDÁRIZ,XHEPB,FM,93.1,25000,Cambio de frecuencia de la estación XEPB-AM,,290556,1105715,216,
HERMOSILLO,SON.,(C)**,"RADIO INTEGRAL, S.A. DE C.V.",XHESON,FM,88.9,6500,12/09/03,11/09/15,290556,1105715,216,
HERMOSILLO,SON.,(C)**,"RADIO INTEGRAL, S.A. DE C.V.",XHDM,FM,102.7,5000,01/12/12,30/11/24,290556,1105715,216,
HERMOSILLO,SON.,(C)**,"RADIO INTEGRAL, S.A. DE C.V.",XHFEM,FM,99.5,3000,23/03/03,22/03/15,290556,1105715,216,
HERMOSILLO,SON.,(C),"ADMINISTRADORA ARCÁNGEL, S.A. DE C.V.",XHHLL,FM,90.7,40340,11/12/05,10/12/17,290556,1105715,216,
HERMOSILLO,SON.,(C)**,"RADIODIFUSORAS CAPITAL, S.A. DE C.V.",XHHQ,FM,97.1,25000,30/07/07,29/07/19,290556,1105715,216,
HERMOSILLO,SON.,(C),"COMUNICACIONES ALREY, S.A. DE C.V.",XHMMO,FM,105.1,39560,07/07/07,06/07/19,290556,1105715,216,
HERMOSILLO,SON.,(C),"XHMV-FM, S.A. DE C.V.",XHMV,FM,93.9,9560,25/08/02,24/08/14,290556,1105715,216,
HERMOSILLO,SON.,(C),"RADIODIFUSORA XHSD, S.A. DE C.V.",XHSD,FM,100.3,9800,13/09/08,12/09/20,290556,1105715,216,
HERMOSILLO,SON.,(P),UNIVERSIDAD DE SONORA,XHUSH,FM,107.5,10000,02/03/00,R,290556,1105715,216,
HERMOSILLO,SON.,(C),"RADIO INTEGRAL, S.A. DE C.V.",XHUSS,FM,92.3,50000,16/08/09,15/08/21,290556,1105715,216,
HERMOSILLO,SON.,(C),CARLOS DE JESÚS QUIÑONES ARMENDÁRIZ,XHVS,FM,96.3,3000,Es frecuencia adicional de la XEVS-AM,,290556,1105715,216,
HERMOSILLO,SON.,(C)**,"CADENA REGIONAL RADIOFÓRMULA, S.A. DE C.V.",XHYF,FM,91.5,25000,11/06/08,10/06/20,290556,1105715,216,
HERMOSILLO,SON.,(P),"COMUNICADORES DEL DESIERTO, A.C.",XHCD,FM,95.5,4299,31/05/12,30/05/24,290556,1105715,216,
HERMOSILLO,SON.,(C)**,"RADIO GENERAL, S.A.",XHVSS,FM,101.1,25000,25/04/06,24/04/18,290556,1105715,216,
IMURIS,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHMUR,FM,94.7,590,07/03/05,R,304641,1105123,840,
LA PALOMA,SON.,(C)**,"RADIODIFUSORA XEHOS, S.A. DE C.V.",XHHOS,FM,101.9,9400,29/09/09,28/09/19,290400,1105801,216,
MAGDALENA DE KINO,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHKIN,FM,95.5,531,09/11/10,08/11/22,303737,1105803,757,
MAGDALENA DE KINO,SON.,(C),"RADIO INTEGRAL, S.A. DE C.V.",XHLDC,FM,90.7,15000,16/08/09,15/08/21,303737,1105803,757,
MOCTEZUMA,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHMOC,FM,94.7,590,07/03/05,R,294810,1094049,624,
NACO,SON.,(C),ARNOLDO RODRÍGUEZ ZERMEÑO,XHNNO,FM,99.9,27400,23/11/04,22/11/16,311937,1095652,1408,
NACORI CHICO,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHCHI,FM,94.7,590,07/03/05,R,290340,1100330,620,
NACOZARI,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHARI,FM,105.5,45000,07/03/05,R,302227,1094108,1100,
NACOZARI,SON.,(C),CLAUDIA ELENA LIZÁRRAGA VERDUGO,XHNZI,FM,99.1,3000,28/10/04,27/10/16,302227,1094108,1100,
NAVOJOA,SON.,(C)**,"XENAS-AM, S.A. DE C.V.",XHNAS,FM,95.5,25000,04/10/04,03/10/16,270451,1092643,40,
NAVOJOA,SON.,(C)**,"PROMOTORA RADIOVISIÓN, S.A. DE C.V.",XHENS,FM,107.1,22900,03/07/04,02/07/16,270451,1092643,40,
NAVOJOA,SON.,(C)**,"PROMOTORA UNIMEDIOS, S.A. DE C.V.",XHKE,FM,104.5,22900,04/07/04,03/07/16,270451,1092643,40,
NAVOJOA,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHNAV,FM,94.7,1648,07/03/05,R,270451,1092643,40,
NAVOJOA,SON.,(P),UNIVERSIDAD DE SONORA,XHNVS,FM,93.7,2830,02/03/05,01/03/17,270451,1092643,40,
NOGALES,SON.,(C),"COMERCIAL LIBERTAS, S.A. DE C.V.",XHAZE,FM,104.3,50000,05/10/04,04/10/16,311907,1105645,1199,wiki
NOGALES,SON.,(C),"STEREOREY MÉXICO, S.A.",XHQT,FM,102.7,9653,07/12/12,06/12/24,311907,1105645,1199,wiki
NOGALES,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHNES,FM,105.9,600,08/11/11,07/11/23,311907,1105645,1199,wiki
NOGALES,SON.,(C),"STEREOREY MÉXICO, S.A.",XHNGS,FM,96.7,30380,31/05/06,30/05/18,311907,1105645,1199,wiki
NOGALES,SON.,(C),MARÍA DEL CARMEN GUZMÁN MUÑOZ,XHNI,FM,105.1,25000,23/06/09,22/06/19,311907,1105645,1199,wiki
NOGALES,SON.,(C),"RADIOS KINO, S.A. DE C.V.",XHNOS,FM,97.5,1610,04/03/08,03/03/20,311907,1105645,1199,wiki
NOGALES,SON.,(C),"XHRZ-FM, S.A. DE C.V.",XHRZ,FM,103.5,20850,30/11/03,29/11/15,311907,1105645,1199,wiki
NOGALES,SON.,(C),"XHSN-FM, S.A. DE C.V.",XHSN,FM,106.7,19510,28/10/04,27/10/16,311907,1105645,1199,wiki
PUERTO PEÑASCO,SON.,(C)**,ÁNGEL TANORI CRUZ,XHEQC,FM,93.5,25000,06/06/02,R,311900,1133213,13,
PUERTO PEÑASCO,SON.,(C),"RADIO INTEGRAL, S.A. DE C.V.",XHPPO,FM,106.1,15000,28/10/04,27/10/16,311900,1133213,13,
PUERTO PEÑASCO,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHPPU,FM,105.3,750,07/03/05,R,311900,1133213,13,
SAHUARIPA,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHIPA,FM,94.7,590,07/03/05,R,290319,1091358,440,
SAN FELIPE DE JESÚS,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHFEL,FM,102.3,525,09/11/10,08/11/22,295135,1101423,610,
SAN LUIS RIO COLORADO,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHCRS,FM,88.5,400,06/03/12,07/03/24,322836,1144545,51,
SAN LUIS RIO COLORADO,SON.,(C),"RADIO INTEGRAL, S.A. DE C.V.",XHRCL,FM,89.5,15000,16/08/04,15/08/16,322836,1144545,51,
SAN LUIS RIO COLORADO,SON.,(C),"RADIO Y TELEVISIÓN INTERNACIONAL, S.A. DE C.V.",XHSLR,FM,107.9,100000,04/09/06,03/09/18,322836,1144545,51,
"SAN LUIS RIO COLORADO (COLONIA LADRILLERA, B.C.)",SON.,(C),"XHLPS,FM, S.A. DE C.V. ",XHLPS,FM,102.5,3000,21/10/04,20/10/16,322836,1144545,51,
SAN PEDRO DE LA CUEVA,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHSPD,FM,94.7,590,07/03/05,R,291712,1094412,344,
SANTA ANA,SON.,(C)**,CARLOS DE JESÚS QUIÑONES ARMENDÁRIZ,XHAB,FM,98.7,6000,06/07/03,05/07/15,303233,1110717,685,
SANTA ANA,SON.,(P),UNIVERSIDAD DE SONORA,XHNTA,FM,89.1,3000,02/03/00,R,303233,1110717,685,
SANTA ANA,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHSTN,FM,94.7,590,07/03/05,R,303233,1110717,685,
SONOITA,SON.,(C),ARNOLDO RODRÍGUEZ ZERMEÑO,XHITA,FM,96.5,40560,10/11/03,09/11/15,315141,1125116,400,
SONOITA,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHSSA,FM,88.9,600,07/03/05,R,315141,1125116,400,
TEPACHE,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHMZQ,FM,99.3,46000,07/03/05,R,293200,1093144,601,
URES,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHURS,FM,103.9,590,07/03/05,R,292553,1102201,390,
VILLA JUÁREZ,SON.,(C),LUIS FELIPE GARCÍA DE LEÓN MARTÍNEZ,XHVJS,FM,103.3,41250,16/08/09,15/08/21,270744,1095030,17,
YECORA,SON.,(P),GOBIERNO DEL ESTADO DE SONORA,XHYEC,FM,94.7,590,07/03/05,R,282216,1085532,1531,
CÁRDENAS,TAB.,(C)**,"RADIODIFUSORA ASOCIADA CALDERÓN LARA ARMANDO, S.A.",XHACM,FM,104.5,6000,04/07/04,03/07/16,180004,932235,20,
CÁRDENAS,TAB.,(P)*,GOBIERNO DEL ESTADO DE TABASCO,XHCAR,FM,105.9,3000,29/10/98,R,180004,932235,20,
COMALCALCO,TAB.,(C)**,MOISÉS FÉLIX DAGDUG LUTZOW,XHVX,FM,89.7,6000,04/07/04,03/07/16,181618,931329,4,
CUNDUACÁN,TAB.,(C)**,"MARÍA DE LOS ÁNGELES ESPINOSA DE LOS MONTEROS DE LA CRUZ, OSCAR Y CARLOS ZERECERO ESPINOSA DE LOS MONTEROS",XHZQ,FM,93.7,6000,28/10/05,27/10/17,180402,931032,10,
EMILIANO ZAPATA,TAB.,(C),NORA MARÍA CANTÓN MARTÍNEZ DE ESCOBAR,XHEMZ,FM,99.9,80000,04/08/07,03/08/19,174429,914549,10,
EMILIANO ZAPATA,TAB.,(P)*,UNIVERSIDAD TECNOLÓGICA DEL USUMACINTA,XHUTU,FM,90.5,1900,01/11/11,31/10/23,174429,914549,10,
IXTACOMITAN,TAB.,(C)**,"RADIODIFUSORAS CAPITAL, S.A. DE C.V.",XHRVI,FM,106.3,25000,13/04/07,13/04/19,175901,925500,18,
IXTACOMITAN ,TAB.,(C)**,"TRIPLE Q RADIO, S.A. DE C.V.",XHQQQ,FM,89.3,25000,21/04/13,20/04/25,175901,925500,18,
JONUTA,TAB.,(P)*,GOBIERNO DEL ESTADO DE TABASCO,XHJON,FM,106.9,3000,01/11/11,31/10/23,180525,920812,1,
MACUSPANA,TAB.,(C)**,"RADIO Y TELEVISIÓN DE CALIDAD, S.A. DE C.V.",XHRTM,FM,107.7,6000,04/07/04,03/07/16,174536,923551,10,
MIGUEL HIDALGO PRIMERA SECCIÓN,TAB.,(C)**,"RADIODIFUSORA XEREC-AM, S.A. DE C.V.",XHREC,FM,104.9,25000,25/04/06,24/04/18,175901,925500,18,
MIGUEL HIDALGO PRIMERA SECCIÓN,TAB.,(C)**,"RADIO UNIDO, S.A.",XHVHT,FM,99.1,25000,30/09/07,29/09/19,175901,925500,18,
TENOSIQUE,TAB.,(C)**,"XEZX, VOZ DEL USUMACINTA, S.A. DE C.V.",XHZX,FM,89.3,6000,04/07/04,03/07/16,172821,912536,20,
